audiocap_id,youtube_id,start_time,caption
104274,Z0IrCa4MvOA,30,Rain is falling continuously
107283,YEYeQ0lIkBQ,0,Several ducks quack and chirp as men speak and wind blows
105307,TQr9v-PQOc4,0,Some clicking followed by a sneeze and a man laughing
105922,AgaiowyYt88,30,A loud and forceful bang
104507,zBXoaQ1GVlc,380,A woman talking while a group of children shout and talk in the background
105388,y93cZqNCtks,470,A series of gunshots followed by a man speaking and footsteps running proceeded by more gunshots firing and a dog growling
104300,L8dA-2Lu2hY,20,Loud wolf whistles occur twice in a quiet environment
104309,taYKM1OSTwE,120,Sheep bleating with a baby sheep baaing
102858,14ekd4nkpwc,28,Baby crying and person tapping his mouth
104894,7XXSOzDQ2z0,70,Clicking followed by booming engines accelerating into the distance
106799,vigslb0kClE,100,Rustling and knocking and then male speech with a goat vocalizing
102913,_duNX6Vyd6g,30,Wind blows hard and an engine hums loud
17384,6BJ455B1aAs,0,Whistling and an explosion
102893,_AcJVyToQUQ,60,A child and a woman laughing followed by a woman talking then a man shouting
103963,BzHTqyX69pI,60,Rustling with scraping as pigeons coo
105174,j1AiqT5oHZc,140,"An adult male speaks hesitantly, and electronic beeps randomly occur"
105172,zoxFl3pddMg,2,A frog chirping as a woman talks over an intercom and water splashes in the background followed by wood falling on a hard surface
105301,SL3wB5sDcdw,350,A vacuum cleaner is operating with wind noise
105724,0yxEvdnimGg,30,Dogs barking and muffled speech
104929,C5kmOK_l4jc,0,A young girl talking as an infant is laughing
104527,Wq4OD3olO2w,90,"A man talks followed by laughter, and a woman and children communicate"
106637,2ceUOv8A3FE,20,Honking of horns of an oncoming train
107356,A0E_UiD-fR4,0,A bleeping noise followed by a loud object in use
104195,6aWnK1GyeJY,30,A baby cries and women speak
106606,R_g4RpU9mO0,30,Boat motor idles then accelerates
105144,NlKlRKz8OKI,90,A woman speaks followed by birds chirping
105821,2j8pxiFvElM,0,A cat is meowing in a quiet environment
105615,2ceUOv8A3FE,20,A train horn blowing multiple times as a train runs on railroad tracks while a man and a young kid talk in the background alongside birds cooing in the distance
107010,hV4bDCBDCy0,90,Humming of a large truck engine with blowing wind
106731,oOMtaqvQ3_M,170,A helicopter flying with wind heavily blowing into a microphone
104446,8DLcBdC5UrE,13,Wind followed by splashing of water
105717,4YMXgLFcR94,30,Male speaking and then applause
104120,woadpeAGHUQ,70,An emergency siren blaring steadily
104121,KVbmN9ZRg5Q,220,A passing train clacking with a long horn blowing
105982,8ipe6b1LwHQ,30,"Glass clinks, thumps occur, and then silverware clatters"
105987,EzWEO2WD_MM,70,A power tool drilling followed by plastic clanking
103868,CxaPpRJRkn0,0,Footsteps shuffling on a hard surface followed by a person snoring
104742,Boe3MeEpn_c,380,A metal pan clacking followed by compressed air spraying then an aerosol can tapping a hard surface while a man talks
106670,HqnSyliKTKA,30,A crowd of people talking followed by a horse neighing as a lawnmower engine runs in the background
104201,QOmV7O9mFwg,30,Laughing followed by a child talking and more laughing with many children talking in the background
105152,_BSmz3SEW1w,30,Birds cooing and rustling
107181,Ujje3lSabsg,0,A person is snoring
103982,pO8kbg9IJnc,120,A man talking followed by a faucet running
6468,1a2XWJ8NA_Q,30,"A boat engine sounds, wind blows by, people speak"
107354,BXxlqaDvdaA,30,Male speech and wind blowing hard over microphone
104786,R_g4RpU9mO0,30,A motor boat idling then taking off
106204,wbPmnxCLoRQ,40,Several bells ringing rapidly and then a single bell
106783,1_z6NcidGzM,30,Various speech and a whistle blown and water splashing
105848,rtgVoZCcBw8,0,Goats are bleating with other natural outdoor noises
104015,6OlHuvJR_Dk,30,Helicoptor flying
104866,4_DjmCg8Ra8,30,Artillery guns fire followed by a man yelling as someone whistles while gunshots fire and a group of men shout in the background
104230,c0V_HAul7rI,30,People laugh and speak
105449,4YMXgLFcR94,30,"An adult male speaks, with his voice amplified, after which crowd of people clap"
105103,AKHZMg9ba30,30,Clip-clop of horse while man speaks
104462,sbW7XwwUtSU,23,A clock ticking repeatedly
105564,kEP-BwMarf8,90,Paper crackling with female speaking lightly in the background
2116,-oy0BkpMGAk,30,A motor vehicle is skidding and drifting
104955,Z_smJ66Tb3c,30,A man speaks as birds call and pigeons coo
104269,eXj9OAik5cc,370,An engine idling with light wind
102953,4IeDBwyQ9ZQ,190,Clinking and rustling followed by a woman speaking
102955,4fz0-Kx2oNs,250,A continuous sizzling with oil popping
104760,vfNKduToki4,180,"Truck engines are running, a shrill back-up alarm rings, air brakes engage, and adult males are talking in the background"
106156,JsoBpL86R5U,10,"People are speaking, and a goat bleats"
106562,H7-orYrKBeo,70,A child crying together with murmuring
105916,Vkbp8VmL3pM,40,A baby crying and cooing
103237,R8bHTHnF8j4,100,A helicopter engine running idle
105990,a_Rjlu50TfA,0,A sharp snorting snore
